"구분","한글 용어","영문 용어 / 식별자","노출 화면 / 위치","타입 / 설명"
"공통/헤더","통합건설안전관제시스템","Integrated Safety Control Portal","메인 상단 헤더","타이틀"
"공통/헤더","통합안전관리","Integrated Safety Management","로고 및 헤더 영역","서브 타이틀"
"공통/헤더","실시간 위험 지수","Real-time Risk Index","LNB / 대시보드","위험 지수 지표"
"공통/헤더","공지사항","Announcements","상단 공지 롤러","공지 알림 타이틀"
"공통/헤더","통합 관리자","Admin","상단 사용자 프로필","사용자 등급"
"공통/헤더","발주처","Client / Owner","회원가입 및 프로필","부서/소속 구분"
"공통/헤더","경보 발생","Alarm Alert","실시간 알림 상단","시스템 상태"
"로그인","아이디","ID / Username","로그인 폼","입력 필드 라벨"
"로그인","비밀번호","Password","로그인 폼","입력 필드 라벨"
"로그인","비밀번호 확인","Confirm Password","회원가입 폼","입력 필드 라벨"
"로그인","성명","Full Name","회원가입 폼","입력 필드 라벨"
"로그인","연락처","Phone Number","회원가입 폼","입력 필드 라벨"
"로그인","소속 회사","Company / Department","회원가입 폼","드롭다운 라벨"
"로그인","직무 / 권한","Role / Permission","회원가입 폼","드롭다운 라벨"
"로그인","로그인 상태 유지","Remember Me","로그인 폼","체크박스 라벨"
"로그인","관리자 계정 바로가기","Quick Admin Login","로그인 하단","빠른 접속 링크"
"로그인","계정이 없으신가요? 회원가입","Sign Up Now","로그인 하단","화면 전환 링크"
"대시보드","남양주 왕숙 수치 지형도(GIS)","Namyangju Wangsuk GIS Map","메인 대시보드 중앙","지도 영역 타이틀"
"대시보드","장비 가동 현황","Equipment Status","대시보드 우측","장비 관제 패널"
"대시보드","기상 정보","Weather Info","대시보드 우측 상단","실시간 대기 환경 지표"
"대시보드","스마트 태그 수","Smart Tag Count","대시보드 상단","지표 요약"
"대시보드","위험 이벤트 감지","Risk Event Detection","대시보드 좌측","경보 알림"
"대시보드","실시간 공정률","Project Progress Rate","대시보드 중앙 하단","차트 및 통계"
"대시보드","협력업체 현황","Subcontractor Status","대시보드 좌측 하단","테이블 요약"
"CCTV 관제","실시간 CCTV 스트리밍","Real-time CCTV Streaming","CCTV 관제 화면","CCTV 리스트 타이틀"
"CCTV 관제","PTZ 제어","PTZ Control","CCTV 개별 그리드","CCTV 원격 제어판"
"CCTV 관제","녹화 재생","Playback","CCTV 하단","과거 기록 분석"
"CCTV 관제","CCTV 채널 선택","CCTV Channel Selection","CCTV 사이드바","선택 가이드"
"CCTV 관제","지능형 객체 감지","AI Object Detection","CCTV 오버레이","안전 수칙 미준수 감지"
"센서 모니터링","가스 감지 센서","Gas Detection Sensor","센서 종합 화면","센서 유형 타이틀"
"센서 모니터링","일산화탄소 농도","CO Concentration","밀폐공간 계측기","센서 상세 지표"
"센서 모니터링","임계값 초과 경보","Threshold Alarm","알람 이력","이벤트 알람 상태"
"센서 모니터링","산소 농도","Oxygen Level","밀폐공간 센서","안전 한계치 검측"
"센서 모니터링","온습도 센서","Temp & Humidity Sensor","외곽 구역 모니터링","환경 센서"
"근로자 관리","근로자 위치 관제","Worker Location Tracking","근로자 현황판","실시간 위치 추적"
"근로자 관리","안전모 착용 상태","Helmet Wearing Status","AI 분석 패널","안전 미준수 검출"
"근로자 관리","비상 호출 SOS","Emergency SOS Call","모바일/태그 알림","긴급 SOS 알람"
"근로자 관리","출퇴근 현황","Attendance Log","근로자 탭","투입 인원 분석"
"일일 보고서","건설안전종합 일일보고서","Daily Construction Safety Report","보고서 출력 화면","공식 문서 양식"
"일일 보고서","출력일자","Export Date","일일 보고서 우측 상단","인쇄용 메타데이터"
"일일 보고서","안전 점검 일지","Safety Inspection Log","보고서 본문","종합 결재 서식"
"일일 보고서","금일 조치사항","Actions Taken Today","보고서 본문 하단","텍스트 영역"
"일일 보고서","명일 안전 계획","Safety Plan for Tomorrow","보고서 본문 하단","텍스트 영역"
"AI 안전 비서","AI 안전관제 어시스턴트","AI Safety Assistant","챗봇 사이드바","챗봇 윈도우 타이틀"
"AI 안전 비서","추천 질문","Suggested Questions","챗봇 웰컴 가이드","빠른 질문 바로가기"
"AI 안전 비서","지도 연동 및 그라운딩","Maps Grounding Link","챗봇 답변 하단","참조 링크 및 좌표 정보"
"AI 안전 비서","SOP 비상 대처 가이드","SOP Emergency Guide","챗봇 답변 영역","안전 대응 가이드라인"
